text,label
"I feel like I have itching, skin rash, nodal skin eruptions, and dischromic patches.",Fungal infection
"I am suffering from skin rash, nodal skin eruptions, and dischromic patches.",Fungal infection
"I have been experiencing itching, nodal skin eruptions, and dischromic patches.",Fungal infection
"My symptoms include itching, skin rash, and dischromic patches.",Fungal infection
"Recently I got itching, skin rash, and nodal skin eruptions.",Fungal infection
"I am showing signs of skin rash, nodal skin eruptions, and dischromic patches.",Fungal infection
"I feel like I have itching, nodal skin eruptions, and dischromic patches.",Fungal infection
"I am suffering from itching, skin rash, and dischromic patches.",Fungal infection
"I have been experiencing itching, skin rash, and nodal skin eruptions.",Fungal infection
"My symptoms include itching, skin rash, nodal skin eruptions, and dischromic patches.",Fungal infection
"Recently I got continuous sneezing, shivering, chills, and watering from eyes.",Allergy
"I am showing signs of shivering, chills, and watering from eyes.",Allergy
"I feel like I have continuous sneezing, chills, and watering from eyes.",Allergy
"I am suffering from continuous sneezing, shivering, and watering from eyes.",Allergy
"I have been experiencing continuous sneezing, shivering, and chills.",Allergy
"My symptoms include shivering, chills, and watering from eyes.",Allergy
"Recently I got continuous sneezing, chills, and watering from eyes.",Allergy
"I am showing signs of continuous sneezing, shivering, and watering from eyes.",Allergy
"I feel like I have continuous sneezing, shivering, and chills.",Allergy
"I am suffering from continuous sneezing, shivering, chills, and watering from eyes.",Allergy
"I have been experiencing stomach pain, acidity, ulcers on tongue, vomiting, cough, and chest pain.",GERD
"My symptoms include stomach pain, ulcers on tongue, vomiting, cough, and chest pain.",GERD
"Recently I got stomach pain, acidity, vomiting, cough, and chest pain.",GERD
"I am showing signs of stomach pain, acidity, ulcers on tongue, cough, and chest pain.",GERD
"I feel like I have stomach pain, acidity, ulcers on tongue, vomiting, and chest pain.",GERD
"I am suffering from stomach pain, acidity, ulcers on tongue, vomiting, and cough.",GERD
"I have been experiencing acidity, ulcers on tongue, vomiting, cough, and chest pain.",GERD
"My symptoms include stomach pain, ulcers on tongue, vomiting, cough, and chest pain.",GERD
"Recently I got stomach pain, acidity, vomiting, cough, and chest pain.",GERD
"I am showing signs of stomach pain, acidity, ulcers on tongue, cough, and chest pain.",GERD
"I feel like I have itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Chronic cholestasis
"I am suffering from vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Chronic cholestasis
"I have been experiencing itching, yellowish skin, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Chronic cholestasis
"My symptoms include itching, vomiting, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Chronic cholestasis
"Recently I got itching, vomiting, yellowish skin, loss of appetite, abdominal pain, and yellowing of eyes.",Chronic cholestasis
"I am showing signs of itching, vomiting, yellowish skin, nausea, abdominal pain, and yellowing of eyes.",Chronic cholestasis
"I feel like I have itching, vomiting, yellowish skin, nausea, loss of appetite, and yellowing of eyes.",Chronic cholestasis
"I am suffering from itching, vomiting, yellowish skin, nausea, loss of appetite, and abdominal pain.",Chronic cholestasis
"I have been experiencing itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Chronic cholestasis
"My symptoms include itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Chronic cholestasis
"Recently I got itching, skin rash, stomach pain, burning micturition, and spotting urination.",Drug Reaction
"I am showing signs of itching, stomach pain, burning micturition, and spotting urination.",Drug Reaction
"I feel like I have itching, skin rash, burning micturition, and spotting urination.",Drug Reaction
"I am suffering from itching, skin rash, stomach pain, and spotting urination.",Drug Reaction
"I have been experiencing itching, skin rash, stomach pain, and burning micturition.",Drug Reaction
"My symptoms include skin rash, stomach pain, burning micturition, and spotting urination.",Drug Reaction
"Recently I got itching, stomach pain, burning micturition, and spotting urination.",Drug Reaction
"I am showing signs of itching, skin rash, burning micturition, and spotting urination.",Drug Reaction
"I feel like I have itching, skin rash, stomach pain, and spotting urination.",Drug Reaction
"I am suffering from itching, skin rash, stomach pain, and burning micturition.",Drug Reaction
"I have been experiencing vomiting, loss of appetite, abdominal pain, passage of gases, and internal itching.",Peptic ulcer diseae
"My symptoms include vomiting, indigestion, abdominal pain, passage of gases, and internal itching.",Peptic ulcer diseae
"Recently I got indigestion, loss of appetite, abdominal pain, passage of gases, and internal itching.",Peptic ulcer diseae
"I am showing signs of vomiting, loss of appetite, abdominal pain, passage of gases, and internal itching.",Peptic ulcer diseae
"I feel like I have vomiting, indigestion, abdominal pain, passage of gases, and internal itching.",Peptic ulcer diseae
"I am suffering from vomiting, indigestion, loss of appetite, passage of gases, and internal itching.",Peptic ulcer diseae
"I have been experiencing vomiting, indigestion, loss of appetite, abdominal pain, and internal itching.",Peptic ulcer diseae
"My symptoms include vomiting, indigestion, loss of appetite, abdominal pain, and passage of gases.",Peptic ulcer diseae
"Recently I got vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, and internal itching.",Peptic ulcer diseae
"I am showing signs of vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, and internal itching.",Peptic ulcer diseae
"I feel like I have muscle wasting, patches in throat, high fever, and extra marital contacts.",AIDS
"I am suffering from patches in throat, high fever, and extra marital contacts.",AIDS
"I have been experiencing muscle wasting, high fever, and extra marital contacts.",AIDS
"My symptoms include muscle wasting, patches in throat, and extra marital contacts.",AIDS
"Recently I got muscle wasting, patches in throat, and high fever.",AIDS
"I am showing signs of muscle wasting, patches in throat, high fever, and extra marital contacts.",AIDS
"I feel like I have muscle wasting, patches in throat, high fever, and extra marital contacts.",AIDS
"I am suffering from patches in throat, high fever, and extra marital contacts.",AIDS
"I have been experiencing muscle wasting, high fever, and extra marital contacts.",AIDS
"My symptoms include muscle wasting, patches in throat, and high fever.",AIDS
"Recently I got fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, and polyuria.",Diabetes
"I am showing signs of fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, and polyuria.",Diabetes
"I feel like I have weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, and polyuria.",Diabetes
"I am suffering from fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, and polyuria.",Diabetes
"I have been experiencing fatigue, weight loss, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, and polyuria.",Diabetes
"My symptoms include fatigue, weight loss, restlessness, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, and polyuria.",Diabetes
"Recently I got fatigue, weight loss, restlessness, lethargy, blurred and distorted vision, obesity, excessive hunger, increased appetite, and polyuria.",Diabetes
